doc_id,file_name,packet,document_type,evidence_role,text_length,chunk_count,has_text
DOC_1BE15D0DAB2F,castor_oil_ricinoleic_acid_pgpr_origin_reference.pdf,pgpr,pdf_document,process_or_function_context,14,1,True
DOC_5EE6EEAC2420,pgpr_processing_polyglycerol_ricinoleic_acid_explanation.pdf,pgpr,pdf_document,process_or_function_context,14,1,True
DOC_5BC712652F98,pgpr_market_overview_reference.pdf,pgpr,pdf_document,benchmark_proxy,21787,13,True
DOC_23BD14F34CEF,pgpr_market_price_reference.pdf,pgpr,pdf_document,benchmark_proxy,14,1,True
DOC_A2C285FFEE37,pgpr_industry_supplier_function_reference.pdf,pgpr,pdf_document,supplier_relationship_context,14,1,True
DOC_C341E0016B61,fda_lecithin_food_additive_or_gras_reference.pdf,soy_lecithin,pdf_document,regulatory_definition,14,1,True
DOC_51C8BD35B96E,lecithin_emulsifier_chocolate_use.pdf,soy_lecithin,pdf_document,process_or_function_context,14,1,True
DOC_2FB8D1A92FFF,soy_lecithin_function_in_chocolate_explanation.pdf,soy_lecithin,pdf_document,process_or_function_context,14,1,True
DOC_B544BFB9CF00,soybean_to_soy_lecithin_processing_explanation.pdf,soy_lecithin,pdf_document,process_or_function_context,14,1,True
DOC_7A2EEB1A9F31,soy_lecithin_market_price_reference.pdf,soy_lecithin,pdf_document,benchmark_proxy,14,1,True
DOC_A632502DE1F8,usda_soybean_soybean_oil_price_benchmark.pdf,soy_lecithin,pdf_document,benchmark_proxy,14,1,True
DOC_C035EBC878BA,soy_lecithin_industry_supplier_reference.pdf,soy_lecithin,pdf_document,supplier_relationship_context,14,1,True
DOC_0E5990AC3AEF,asr_belize_sugar_industries_page.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_4FB6669959F5,asr_fy23_sustainability_report.pdf,sugar,pdf_document,supplier_relationship_context,252296,150,True
DOC_535DD6E652B7,asr_group_about_page.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_DB66DBC968F9,asr_group_home_page.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_1E0944AC1DC5,asr_hershey_learn_to_grow_belize.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_02F4A4A84A57,asr_refined_sugar_process_or_products.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_C2BD8E23F83C,asr_sustainable_supply_chain_page.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_EBE512C33BCD,domino_sugar_asr_brand_page.pdf,sugar,pdf_document,supplier_relationship_context,14,1,True
DOC_74966F03A6A3,hershey_sugar_sourcing_page.pdf,sugar,pdf_document,direct_company_evidence,14,1,True
