doc_id,file_name,packet,document_type,ocr_needed,image_count,pages_ocr_attempted,pages_ocr_success,total_visual_ocr_text_length,total_visual_ocr_chunks,visual_ocr_json_path,combined_visual_ocr_text_path
DOC_463FD3B8EDC9,Hershey Front.webp,product_sku_1_55oz,image_or_logo,True,1,1,1,78,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_463FD3B8EDC9.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_463FD3B8EDC9.visual_ocr.txt
DOC_4798F11F2524,Palm-Oil-The-Hershey-Company-05-06-2026_02_22_PM.pdf,hershey_company,pdf_document,True,1,1,1,15557,9,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4798F11F2524.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4798F11F2524.visual_ocr.txt
DOC_4D6583498B7A,target_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,True,1,1,1,1493,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4D6583498B7A.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4D6583498B7A.visual_ocr.txt
DOC_4ED7D04B1CB5,pswrgvwall.xls,logistics_distribution,excel_workbook,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4ED7D04B1CB5.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4ED7D04B1CB5.visual_ocr.txt
DOC_4FB6669959F5,asr_fy23_sustainability_report.pdf,sugar,pdf_document,True,1,1,1,236,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4FB6669959F5.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_4FB6669959F5.visual_ocr.txt
DOC_51C8BD35B96E,lecithin_emulsifier_chocolate_use.pdf,soy_lecithin,pdf_document,True,1,1,1,5657,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_51C8BD35B96E.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_51C8BD35B96E.visual_ocr.txt
DOC_535DD6E652B7,asr_group_about_page.pdf,sugar,pdf_document,True,1,1,1,2851,2,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_535DD6E652B7.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_535DD6E652B7.visual_ocr.txt
DOC_55B0E1DB0BD6,common_carrier_freight_explanation.pdf,logistics_distribution,pdf_document,True,1,1,1,2163,1,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_55B0E1DB0BD6.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_55B0E1DB0BD6.visual_ocr.txt
DOC_5BC712652F98,pgpr_market_overview_reference.pdf,pgpr,pdf_document,False,0,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_5BC712652F98.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_5BC712652F98.visual_ocr.txt
DOC_5E90ED0F32AB,walgreens_hershey_1_55oz_price_page.pdf,retail_price_evidence,pdf_document,True,1,1,1,4989,3,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_5E90ED0F32AB.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_5E90ED0F32AB.visual_ocr.txt
DOC_5EE6EEAC2420,pgpr_processing_polyglycerol_ricinoleic_acid_explanation.pdf,pgpr,pdf_document,True,1,1,1,16700,9,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_5EE6EEAC2420.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_5EE6EEAC2420.visual_ocr.txt
DOC_6152C93503AC,hershey_responsible_sourcing_cocoa_page.pdf,hershey_company,pdf_document,True,1,1,1,7358,4,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_6152C93503AC.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_6152C93503AC.visual_ocr.txt
DOC_66F839469130,hershey_pulp_and_paper_sourcing_data.pdf,packaging_wrapper,pdf_document,False,3,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_66F839469130.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_66F839469130.visual_ocr.txt
DOC_672F3875D726,hershey_sustainable_sugar_sourcing_policy.pdf,sugar,pdf_document,False,1,0,0,0,0,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_672F3875D726.visual_ocr.json,D:/HersheySupplyChainAI/artifacts/02_visual_text/per_document/DOC_672F3875D726.visual_ocr.txt
