doc_id,file_name,packet,document_type,evidence_role,ai_input_mode,priority_score,selected_chunk_count,has_page_images,has_tables,needs_visual_review,level1_input_path
DOC_E5889DB5914A,Sugar-The-Hershey-Company-05-06-2026_02_22_PM.pdf,sugar,pdf_document,direct_company_evidence,visual_priority,86,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_E5889DB5914A.level1_input.json
DOC_1EC92FF65460,barry_callebaut_company_profile.pdf,cocoa_chocolate_cocoa_butter,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1EC92FF65460.level1_input.json
DOC_BA82764C244F,land_o_lakes_community_impact_report.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_BA82764C244F.level1_input.json
DOC_D9B23C06662B,land_o_lakes_home_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_D9B23C06662B.level1_input.json
DOC_2F8EE4491545,land_o_lakes_who_we_are_page.pdf,dairy_milk_skim_milk_milk_fat,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_2F8EE4491545.level1_input.json
DOC_F89879677373,hershey_latest_esg_packaging_section.pdf,packaging_wrapper,pdf_document,direct_company_evidence,text_plus_page_images,81,6,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_F89879677373.level1_input.json
DOC_0E5990AC3AEF,asr_belize_sugar_industries_page.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_0E5990AC3AEF.level1_input.json
DOC_535DD6E652B7,asr_group_about_page.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_535DD6E652B7.level1_input.json
DOC_DB66DBC968F9,asr_group_home_page.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_DB66DBC968F9.level1_input.json
DOC_02F4A4A84A57,asr_refined_sugar_process_or_products.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_02F4A4A84A57.level1_input.json
DOC_C2BD8E23F83C,asr_sustainable_supply_chain_page.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C2BD8E23F83C.level1_input.json
DOC_EBE512C33BCD,domino_sugar_asr_brand_page.pdf,sugar,pdf_document,supplier_relationship_context,visual_priority,81,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_EBE512C33BCD.level1_input.json
DOC_672F3875D726,hershey_sustainable_sugar_sourcing_policy.pdf,sugar,pdf_document,direct_company_evidence,text_only,81,1,True,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_672F3875D726.level1_input.json
